Episode 100/100000 | Avg Score: 2373.20 | Success Rate: 0.00
Episode 200/100000 | Avg Score: 2814.28 | Success Rate: 0.00
Episode 300/100000 | Avg Score: 3413.40 | Success Rate: 0.00
Episode 400/100000 | Avg Score: 3426.28 | Success Rate: 0.00
Episode 500/100000 | Avg Score: 4107.88 | Success Rate: 0.00
Episode 600/100000 | Avg Score: 4256.20 | Success Rate: 0.00
Episode 700/100000 | Avg Score: 4757.48 | Success Rate: 0.00
Episode 800/100000 | Avg Score: 4572.04 | Success Rate: 0.00
Episode 900/100000 | Avg Score: 5026.80 | Success Rate: 0.00
Episode 1000/100000 | Avg Score: 5394.28 | Success Rate: 0.00
Episode 1100/100000 | Avg Score: 5393.00 | Success Rate: 0.00
Episode 1200/100000 | Avg Score: 5244.28 | Success Rate: 0.00
Episode 1300/100000 | Avg Score: 6012.12 | Success Rate: 0.00
Episode 1400/100000 | Avg Score: 5756.84 | Success Rate: 0.00
Episode 1500/100000 | Avg Score: 5925.44 | Success Rate: 0.00
Episode 1600/100000 | Avg Score: 6578.60 | Success Rate: 0.00
Episode 1700/100000 | Avg Score: 6056.48 | Success Rate: 0.00
Episode 1800/100000 | Avg Score: 6739.36 | Success Rate: 0.00
Episode 1900/100000 | Avg Score: 7014.32 | Success Rate: 0.00
Episode 2000/100000 | Avg Score: 6720.48 | Success Rate: 0.00
Episode 2100/100000 | Avg Score: 6980.48 | Success Rate: 0.00
Episode 2200/100000 | Avg Score: 6804.16 | Success Rate: 0.00
Episode 2300/100000 | Avg Score: 6563.84 | Success Rate: 0.00
Episode 2400/100000 | Avg Score: 7384.24 | Success Rate: 0.00
Episode 2500/100000 | Avg Score: 6691.08 | Success Rate: 0.00
Episode 2600/100000 | Avg Score: 7293.88 | Success Rate: 0.00
Episode 2700/100000 | Avg Score: 6804.04 | Success Rate: 0.00
Episode 2800/100000 | Avg Score: 7532.92 | Success Rate: 0.00
Episode 2900/100000 | Avg Score: 6994.84 | Success Rate: 0.00
Episode 3000/100000 | Avg Score: 7434.56 | Success Rate: 0.00
Episode 3100/100000 | Avg Score: 7279.28 | Success Rate: 0.00
Episode 3200/100000 | Avg Score: 7490.16 | Success Rate: 0.00
Episode 3300/100000 | Avg Score: 8115.84 | Success Rate: 0.00
Episode 3400/100000 | Avg Score: 7624.36 | Success Rate: 0.00
Episode 3500/100000 | Avg Score: 7798.56 | Success Rate: 0.00
Episode 3600/100000 | Avg Score: 7892.28 | Success Rate: 0.00
Episode 3700/100000 | Avg Score: 7853.40 | Success Rate: 0.00
Episode 3800/100000 | Avg Score: 7920.80 | Success Rate: 0.00
Episode 3900/100000 | Avg Score: 8554.44 | Success Rate: 0.00
Episode 4000/100000 | Avg Score: 8063.28 | Success Rate: 0.00
Episode 4100/100000 | Avg Score: 8175.80 | Success Rate: 0.00
Episode 4200/100000 | Avg Score: 8498.28 | Success Rate: 0.00
Episode 4300/100000 | Avg Score: 8260.08 | Success Rate: 0.00
Episode 4400/100000 | Avg Score: 8855.96 | Success Rate: 0.01
Episode 4500/100000 | Avg Score: 8552.28 | Success Rate: 0.01
Episode 4600/100000 | Avg Score: 8707.28 | Success Rate: 0.00
Episode 4700/100000 | Avg Score: 8742.52 | Success Rate: 0.00
Episode 4800/100000 | Avg Score: 8780.24 | Success Rate: 0.02
Episode 4900/100000 | Avg Score: 9014.12 | Success Rate: 0.00
Episode 5000/100000 | Avg Score: 8133.68 | Success Rate: 0.00
Episode 5100/100000 | Avg Score: 8949.84 | Success Rate: 0.00
Episode 5200/100000 | Avg Score: 9003.96 | Success Rate: 0.02
Episode 5300/100000 | Avg Score: 8891.28 | Success Rate: 0.01
Episode 5400/100000 | Avg Score: 9041.28 | Success Rate: 0.00
Episode 5500/100000 | Avg Score: 8433.52 | Success Rate: 0.00
Episode 5600/100000 | Avg Score: 9341.60 | Success Rate: 0.00
Episode 5700/100000 | Avg Score: 9326.76 | Success Rate: 0.00
Episode 5800/100000 | Avg Score: 9615.00 | Success Rate: 0.01
Episode 5900/100000 | Avg Score: 9428.60 | Success Rate: 0.02
Episode 6000/100000 | Avg Score: 8936.04 | Success Rate: 0.02
Episode 6100/100000 | Avg Score: 9725.44 | Success Rate: 0.02
Episode 6200/100000 | Avg Score: 9118.52 | Success Rate: 0.00
Episode 6300/100000 | Avg Score: 8518.16 | Success Rate: 0.01
Episode 6400/100000 | Avg Score: 8830.68 | Success Rate: 0.01
Episode 6500/100000 | Avg Score: 10283.92 | Success Rate: 0.02
Episode 6600/100000 | Avg Score: 9786.76 | Success Rate: 0.00
Episode 6700/100000 | Avg Score: 9098.76 | Success Rate: 0.00
Episode 6800/100000 | Avg Score: 9339.64 | Success Rate: 0.02
Episode 6900/100000 | Avg Score: 9855.48 | Success Rate: 0.02
Episode 7000/100000 | Avg Score: 9396.00 | Success Rate: 0.02
Episode 7100/100000 | Avg Score: 9881.80 | Success Rate: 0.03
Episode 7200/100000 | Avg Score: 8597.84 | Success Rate: 0.01
Episode 7300/100000 | Avg Score: 10585.92 | Success Rate: 0.03
Episode 7400/100000 | Avg Score: 10024.80 | Success Rate: 0.04
Episode 7500/100000 | Avg Score: 10273.80 | Success Rate: 0.02
Episode 7600/100000 | Avg Score: 9658.76 | Success Rate: 0.02
Episode 7700/100000 | Avg Score: 9438.92 | Success Rate: 0.04
Episode 7800/100000 | Avg Score: 8744.60 | Success Rate: 0.00
Episode 7900/100000 | Avg Score: 10608.48 | Success Rate: 0.02
Episode 8000/100000 | Avg Score: 9160.44 | Success Rate: 0.01
Episode 8100/100000 | Avg Score: 9485.92 | Success Rate: 0.04
Episode 8200/100000 | Avg Score: 10077.32 | Success Rate: 0.01
Episode 8300/100000 | Avg Score: 10381.24 | Success Rate: 0.04
Episode 8400/100000 | Avg Score: 9317.56 | Success Rate: 0.01
Episode 8500/100000 | Avg Score: 9835.80 | Success Rate: 0.02
Episode 8600/100000 | Avg Score: 8991.88 | Success Rate: 0.01
Episode 8700/100000 | Avg Score: 9537.68 | Success Rate: 0.04
Episode 8800/100000 | Avg Score: 10482.04 | Success Rate: 0.03
Episode 8900/100000 | Avg Score: 10461.32 | Success Rate: 0.02
Episode 9000/100000 | Avg Score: 10566.00 | Success Rate: 0.01
Episode 9100/100000 | Avg Score: 10074.88 | Success Rate: 0.02
Episode 9200/100000 | Avg Score: 10477.72 | Success Rate: 0.04
Episode 9300/100000 | Avg Score: 10431.40 | Success Rate: 0.01
Episode 9400/100000 | Avg Score: 10508.36 | Success Rate: 0.03
Episode 9500/100000 | Avg Score: 9389.00 | Success Rate: 0.01
Episode 9600/100000 | Avg Score: 10417.84 | Success Rate: 0.03
Episode 9700/100000 | Avg Score: 11117.84 | Success Rate: 0.05
Episode 9800/100000 | Avg Score: 10366.96 | Success Rate: 0.03
Episode 9900/100000 | Avg Score: 11256.16 | Success Rate: 0.04
Episode 10000/100000 | Avg Score: 9826.44 | Success Rate: 0.01
Episode 10100/100000 | Avg Score: 11016.84 | Success Rate: 0.01
