Episode 100/100000 | Avg Score: 1650.88 | Success Rate: 0.00
Episode 200/100000 | Avg Score: 2045.08 | Success Rate: 0.00
Episode 300/100000 | Avg Score: 2443.84 | Success Rate: 0.00
Episode 400/100000 | Avg Score: 2985.00 | Success Rate: 0.00
Episode 500/100000 | Avg Score: 3127.00 | Success Rate: 0.00
Episode 600/100000 | Avg Score: 3512.16 | Success Rate: 0.00
Episode 700/100000 | Avg Score: 4201.20 | Success Rate: 0.00
Episode 800/100000 | Avg Score: 4157.20 | Success Rate: 0.00
Episode 900/100000 | Avg Score: 4746.00 | Success Rate: 0.00
Episode 1000/100000 | Avg Score: 5051.20 | Success Rate: 0.00
Episode 1100/100000 | Avg Score: 5444.40 | Success Rate: 0.00
Episode 1200/100000 | Avg Score: 5460.24 | Success Rate: 0.00
Episode 1300/100000 | Avg Score: 6026.44 | Success Rate: 0.00
Episode 1400/100000 | Avg Score: 6386.88 | Success Rate: 0.00
Episode 1500/100000 | Avg Score: 7010.76 | Success Rate: 0.00
Episode 1600/100000 | Avg Score: 7546.00 | Success Rate: 0.01
Episode 1700/100000 | Avg Score: 6894.36 | Success Rate: 0.00
Episode 1800/100000 | Avg Score: 8064.84 | Success Rate: 0.01
Episode 1900/100000 | Avg Score: 7458.80 | Success Rate: 0.01
Episode 2000/100000 | Avg Score: 8080.52 | Success Rate: 0.00
Episode 2100/100000 | Avg Score: 8577.72 | Success Rate: 0.00
Episode 2200/100000 | Avg Score: 8388.32 | Success Rate: 0.01
Episode 2300/100000 | Avg Score: 7963.28 | Success Rate: 0.00
Episode 2400/100000 | Avg Score: 8318.00 | Success Rate: 0.00
Episode 2500/100000 | Avg Score: 8039.20 | Success Rate: 0.01
Episode 2600/100000 | Avg Score: 8498.68 | Success Rate: 0.00
Episode 2700/100000 | Avg Score: 8419.12 | Success Rate: 0.00
Episode 2800/100000 | Avg Score: 8923.84 | Success Rate: 0.00
Episode 2900/100000 | Avg Score: 9378.56 | Success Rate: 0.00
Episode 3000/100000 | Avg Score: 8709.08 | Success Rate: 0.00
Episode 3100/100000 | Avg Score: 9232.36 | Success Rate: 0.01
Episode 3200/100000 | Avg Score: 10013.56 | Success Rate: 0.02
Episode 3300/100000 | Avg Score: 9120.24 | Success Rate: 0.00
Episode 3400/100000 | Avg Score: 8724.88 | Success Rate: 0.02
Episode 3500/100000 | Avg Score: 9533.72 | Success Rate: 0.03
Episode 3600/100000 | Avg Score: 9732.12 | Success Rate: 0.03
Episode 3700/100000 | Avg Score: 9951.80 | Success Rate: 0.01
Episode 3800/100000 | Avg Score: 10056.72 | Success Rate: 0.03
Episode 3900/100000 | Avg Score: 9414.48 | Success Rate: 0.00
Episode 4000/100000 | Avg Score: 9132.92 | Success Rate: 0.01
Episode 4100/100000 | Avg Score: 9882.72 | Success Rate: 0.02
Episode 4200/100000 | Avg Score: 10280.00 | Success Rate: 0.02
Episode 4300/100000 | Avg Score: 9903.00 | Success Rate: 0.02
Episode 4400/100000 | Avg Score: 10171.80 | Success Rate: 0.01
Episode 4500/100000 | Avg Score: 9984.08 | Success Rate: 0.02
Episode 4600/100000 | Avg Score: 9540.52 | Success Rate: 0.00
Episode 4700/100000 | Avg Score: 9793.08 | Success Rate: 0.01
Episode 4800/100000 | Avg Score: 9739.60 | Success Rate: 0.01
Episode 4900/100000 | Avg Score: 10552.56 | Success Rate: 0.04
Episode 5000/100000 | Avg Score: 10480.12 | Success Rate: 0.03
Episode 5100/100000 | Avg Score: 10668.44 | Success Rate: 0.02
Episode 5200/100000 | Avg Score: 10684.96 | Success Rate: 0.01
Episode 5300/100000 | Avg Score: 10766.60 | Success Rate: 0.04
Episode 5400/100000 | Avg Score: 10880.00 | Success Rate: 0.03
Episode 5500/100000 | Avg Score: 10158.44 | Success Rate: 0.01
Episode 5600/100000 | Avg Score: 10507.88 | Success Rate: 0.02
Episode 5700/100000 | Avg Score: 10964.56 | Success Rate: 0.06
Episode 5800/100000 | Avg Score: 10858.12 | Success Rate: 0.04
Episode 5900/100000 | Avg Score: 10659.08 | Success Rate: 0.02
Episode 6000/100000 | Avg Score: 10720.76 | Success Rate: 0.02
Episode 6100/100000 | Avg Score: 11129.76 | Success Rate: 0.03
Episode 6200/100000 | Avg Score: 10977.52 | Success Rate: 0.01
Episode 6300/100000 | Avg Score: 11063.28 | Success Rate: 0.05
Episode 6400/100000 | Avg Score: 10624.36 | Success Rate: 0.06
Episode 6500/100000 | Avg Score: 11021.24 | Success Rate: 0.02
Episode 6600/100000 | Avg Score: 11624.56 | Success Rate: 0.04
Episode 6700/100000 | Avg Score: 11701.56 | Success Rate: 0.06
Episode 6800/100000 | Avg Score: 11464.28 | Success Rate: 0.03
Episode 6900/100000 | Avg Score: 10406.84 | Success Rate: 0.03
Episode 7000/100000 | Avg Score: 10855.84 | Success Rate: 0.04
Episode 7100/100000 | Avg Score: 12004.92 | Success Rate: 0.04
Episode 7200/100000 | Avg Score: 11436.56 | Success Rate: 0.03
Episode 7300/100000 | Avg Score: 11872.80 | Success Rate: 0.05
Episode 7400/100000 | Avg Score: 11933.56 | Success Rate: 0.06
Episode 7500/100000 | Avg Score: 10710.16 | Success Rate: 0.02
Episode 7600/100000 | Avg Score: 10807.72 | Success Rate: 0.03
Episode 7700/100000 | Avg Score: 11478.96 | Success Rate: 0.04
Episode 7800/100000 | Avg Score: 11108.28 | Success Rate: 0.04
Episode 7900/100000 | Avg Score: 11293.08 | Success Rate: 0.07
Episode 8000/100000 | Avg Score: 11420.52 | Success Rate: 0.05
Episode 8100/100000 | Avg Score: 12178.36 | Success Rate: 0.04
Episode 8200/100000 | Avg Score: 12141.88 | Success Rate: 0.10
Episode 8300/100000 | Avg Score: 12653.60 | Success Rate: 0.10
Episode 8400/100000 | Avg Score: 11996.16 | Success Rate: 0.07
Episode 8500/100000 | Avg Score: 12582.56 | Success Rate: 0.08
Episode 8600/100000 | Avg Score: 11560.60 | Success Rate: 0.03
Episode 8700/100000 | Avg Score: 11553.72 | Success Rate: 0.02
Episode 8800/100000 | Avg Score: 12805.04 | Success Rate: 0.06
Episode 8900/100000 | Avg Score: 11885.56 | Success Rate: 0.06
Episode 9000/100000 | Avg Score: 11721.04 | Success Rate: 0.05
Episode 9100/100000 | Avg Score: 11820.00 | Success Rate: 0.04
Episode 9200/100000 | Avg Score: 12204.60 | Success Rate: 0.07
Episode 9300/100000 | Avg Score: 12652.12 | Success Rate: 0.11
Episode 9400/100000 | Avg Score: 12187.64 | Success Rate: 0.07
Episode 9500/100000 | Avg Score: 10818.72 | Success Rate: 0.07
Episode 9600/100000 | Avg Score: 12423.40 | Success Rate: 0.07
Episode 9700/100000 | Avg Score: 12281.76 | Success Rate: 0.08
Episode 9800/100000 | Avg Score: 12254.76 | Success Rate: 0.06
Episode 9900/100000 | Avg Score: 13259.32 | Success Rate: 0.03
Episode 10000/100000 | Avg Score: 12601.44 | Success Rate: 0.08
Episode 10100/100000 | Avg Score: 11877.36 | Success Rate: 0.04
Episode 10200/100000 | Avg Score: 12748.56 | Success Rate: 0.07
Episode 10300/100000 | Avg Score: 13048.24 | Success Rate: 0.08
Episode 10400/100000 | Avg Score: 12269.68 | Success Rate: 0.06
Episode 10500/100000 | Avg Score: 12538.96 | Success Rate: 0.05
Episode 10600/100000 | Avg Score: 12151.64 | Success Rate: 0.09
Episode 10700/100000 | Avg Score: 13333.48 | Success Rate: 0.10
Episode 10800/100000 | Avg Score: 12039.52 | Success Rate: 0.07
Episode 10900/100000 | Avg Score: 11546.68 | Success Rate: 0.02
Episode 11000/100000 | Avg Score: 12885.96 | Success Rate: 0.07
Episode 11100/100000 | Avg Score: 12087.04 | Success Rate: 0.04
Episode 11200/100000 | Avg Score: 11924.96 | Success Rate: 0.07
Episode 11300/100000 | Avg Score: 13321.88 | Success Rate: 0.05
Episode 11400/100000 | Avg Score: 12190.68 | Success Rate: 0.09
Episode 11500/100000 | Avg Score: 13666.92 | Success Rate: 0.11
Episode 11600/100000 | Avg Score: 13190.68 | Success Rate: 0.08
Episode 11700/100000 | Avg Score: 12604.40 | Success Rate: 0.07
Episode 11800/100000 | Avg Score: 13480.80 | Success Rate: 0.11
Episode 11900/100000 | Avg Score: 13899.76 | Success Rate: 0.10
Episode 12000/100000 | Avg Score: 12453.24 | Success Rate: 0.04
Episode 12100/100000 | Avg Score: 13559.12 | Success Rate: 0.09
Episode 12200/100000 | Avg Score: 13783.96 | Success Rate: 0.09
Episode 12300/100000 | Avg Score: 13490.96 | Success Rate: 0.12
Episode 12400/100000 | Avg Score: 13620.36 | Success Rate: 0.06
Episode 12500/100000 | Avg Score: 14011.04 | Success Rate: 0.10
Episode 12600/100000 | Avg Score: 12605.36 | Success Rate: 0.05
Episode 12700/100000 | Avg Score: 12619.52 | Success Rate: 0.04
Episode 12800/100000 | Avg Score: 13493.72 | Success Rate: 0.09
Episode 12900/100000 | Avg Score: 13660.36 | Success Rate: 0.10
Episode 13000/100000 | Avg Score: 12911.64 | Success Rate: 0.06
Episode 13100/100000 | Avg Score: 13473.40 | Success Rate: 0.05
Episode 13200/100000 | Avg Score: 13477.56 | Success Rate: 0.06
Episode 13300/100000 | Avg Score: 12651.40 | Success Rate: 0.06
Episode 13400/100000 | Avg Score: 12986.56 | Success Rate: 0.04
Episode 13500/100000 | Avg Score: 13228.40 | Success Rate: 0.07
Episode 13600/100000 | Avg Score: 12862.00 | Success Rate: 0.07
Episode 13700/100000 | Avg Score: 13111.36 | Success Rate: 0.07
Episode 13800/100000 | Avg Score: 13216.12 | Success Rate: 0.07
Episode 13900/100000 | Avg Score: 13342.40 | Success Rate: 0.07
Episode 14000/100000 | Avg Score: 13754.88 | Success Rate: 0.07
Episode 14100/100000 | Avg Score: 13097.32 | Success Rate: 0.10
Episode 14200/100000 | Avg Score: 12411.84 | Success Rate: 0.03
Episode 14300/100000 | Avg Score: 12571.36 | Success Rate: 0.05
Episode 14400/100000 | Avg Score: 13087.72 | Success Rate: 0.03
Episode 14500/100000 | Avg Score: 12862.32 | Success Rate: 0.07
Episode 14600/100000 | Avg Score: 14138.96 | Success Rate: 0.10
Episode 14700/100000 | Avg Score: 12512.32 | Success Rate: 0.05
Episode 14800/100000 | Avg Score: 12137.36 | Success Rate: 0.10
Episode 14900/100000 | Avg Score: 14040.88 | Success Rate: 0.12
Episode 15000/100000 | Avg Score: 13259.80 | Success Rate: 0.05
Episode 15100/100000 | Avg Score: 14661.36 | Success Rate: 0.11
Episode 15200/100000 | Avg Score: 13675.32 | Success Rate: 0.07
Episode 15300/100000 | Avg Score: 14472.28 | Success Rate: 0.07
Episode 15400/100000 | Avg Score: 13253.24 | Success Rate: 0.08
Episode 15500/100000 | Avg Score: 13383.56 | Success Rate: 0.05
Episode 15600/100000 | Avg Score: 13962.52 | Success Rate: 0.10
Episode 15700/100000 | Avg Score: 14512.80 | Success Rate: 0.12
Episode 15800/100000 | Avg Score: 12923.88 | Success Rate: 0.07
Episode 15900/100000 | Avg Score: 12028.48 | Success Rate: 0.04
Episode 16000/100000 | Avg Score: 13731.24 | Success Rate: 0.09
Episode 16100/100000 | Avg Score: 13649.72 | Success Rate: 0.06
Episode 16200/100000 | Avg Score: 14091.88 | Success Rate: 0.09
Episode 16300/100000 | Avg Score: 13955.88 | Success Rate: 0.09
Episode 16400/100000 | Avg Score: 13474.72 | Success Rate: 0.07
Episode 16500/100000 | Avg Score: 13856.24 | Success Rate: 0.13
Episode 16600/100000 | Avg Score: 14392.52 | Success Rate: 0.11
Episode 16700/100000 | Avg Score: 14340.92 | Success Rate: 0.09
Episode 16800/100000 | Avg Score: 13838.04 | Success Rate: 0.08
Episode 16900/100000 | Avg Score: 13450.68 | Success Rate: 0.08
Episode 17000/100000 | Avg Score: 14248.76 | Success Rate: 0.12
Episode 17100/100000 | Avg Score: 14339.68 | Success Rate: 0.11
Episode 17200/100000 | Avg Score: 14340.28 | Success Rate: 0.13
Episode 17300/100000 | Avg Score: 13178.76 | Success Rate: 0.06
Episode 17400/100000 | Avg Score: 14420.84 | Success Rate: 0.12
Episode 17500/100000 | Avg Score: 13801.60 | Success Rate: 0.08
Episode 17600/100000 | Avg Score: 14672.20 | Success Rate: 0.15
Episode 17700/100000 | Avg Score: 14628.36 | Success Rate: 0.15
Episode 17800/100000 | Avg Score: 13953.48 | Success Rate: 0.11
Episode 17900/100000 | Avg Score: 13702.76 | Success Rate: 0.05
Episode 18000/100000 | Avg Score: 15610.84 | Success Rate: 0.16
Episode 18100/100000 | Avg Score: 14595.60 | Success Rate: 0.11
Episode 18200/100000 | Avg Score: 14056.80 | Success Rate: 0.09
Episode 18300/100000 | Avg Score: 14391.00 | Success Rate: 0.08
Episode 18400/100000 | Avg Score: 15180.28 | Success Rate: 0.15
Episode 18500/100000 | Avg Score: 14702.88 | Success Rate: 0.12
Episode 18600/100000 | Avg Score: 14399.24 | Success Rate: 0.12
Episode 18700/100000 | Avg Score: 14153.12 | Success Rate: 0.10
Episode 18800/100000 | Avg Score: 14895.28 | Success Rate: 0.14
Episode 18900/100000 | Avg Score: 15192.72 | Success Rate: 0.18
Episode 19000/100000 | Avg Score: 14960.76 | Success Rate: 0.12
Episode 19100/100000 | Avg Score: 14668.08 | Success Rate: 0.11
Episode 19200/100000 | Avg Score: 14658.32 | Success Rate: 0.12
Episode 19300/100000 | Avg Score: 15235.84 | Success Rate: 0.11
Episode 19400/100000 | Avg Score: 15362.32 | Success Rate: 0.18
Episode 19500/100000 | Avg Score: 14196.36 | Success Rate: 0.11
Episode 19600/100000 | Avg Score: 14279.12 | Success Rate: 0.09
Episode 19700/100000 | Avg Score: 14541.08 | Success Rate: 0.09
