Episode 100/100000 | Avg Score: 2679.20 | Success Rate: 0.00
Episode 200/100000 | Avg Score: 3777.76 | Success Rate: 0.00
Episode 300/100000 | Avg Score: 3996.28 | Success Rate: 0.00
Episode 400/100000 | Avg Score: 4888.80 | Success Rate: 0.00
Episode 500/100000 | Avg Score: 4938.92 | Success Rate: 0.00
Episode 600/100000 | Avg Score: 5666.20 | Success Rate: 0.00
Episode 700/100000 | Avg Score: 6602.20 | Success Rate: 0.00
Episode 800/100000 | Avg Score: 6514.16 | Success Rate: 0.00
Episode 900/100000 | Avg Score: 6697.08 | Success Rate: 0.00
Episode 1000/100000 | Avg Score: 7190.12 | Success Rate: 0.00
Episode 1100/100000 | Avg Score: 7275.16 | Success Rate: 0.00
Episode 1200/100000 | Avg Score: 6964.08 | Success Rate: 0.00
Episode 1300/100000 | Avg Score: 7625.80 | Success Rate: 0.00
Episode 1400/100000 | Avg Score: 7684.32 | Success Rate: 0.00
Episode 1500/100000 | Avg Score: 7942.00 | Success Rate: 0.00
Episode 1600/100000 | Avg Score: 7747.20 | Success Rate: 0.00
Episode 1700/100000 | Avg Score: 7589.92 | Success Rate: 0.00
Episode 1800/100000 | Avg Score: 8142.84 | Success Rate: 0.00
Episode 1900/100000 | Avg Score: 8209.92 | Success Rate: 0.00
Episode 2000/100000 | Avg Score: 7929.04 | Success Rate: 0.01
Episode 2100/100000 | Avg Score: 8958.68 | Success Rate: 0.00
Episode 2200/100000 | Avg Score: 8163.08 | Success Rate: 0.00
Episode 2300/100000 | Avg Score: 9198.00 | Success Rate: 0.02
Episode 2400/100000 | Avg Score: 8738.52 | Success Rate: 0.00
Episode 2500/100000 | Avg Score: 8287.40 | Success Rate: 0.00
Episode 2600/100000 | Avg Score: 9474.28 | Success Rate: 0.01
Episode 2700/100000 | Avg Score: 8953.76 | Success Rate: 0.00
Episode 2800/100000 | Avg Score: 9497.00 | Success Rate: 0.00
Episode 2900/100000 | Avg Score: 10141.28 | Success Rate: 0.01
Episode 3000/100000 | Avg Score: 9857.04 | Success Rate: 0.02
Episode 3100/100000 | Avg Score: 8883.08 | Success Rate: 0.00
Episode 3200/100000 | Avg Score: 8823.40 | Success Rate: 0.00
Episode 3300/100000 | Avg Score: 9621.60 | Success Rate: 0.01
Episode 3400/100000 | Avg Score: 9314.72 | Success Rate: 0.02
Episode 3500/100000 | Avg Score: 9440.64 | Success Rate: 0.00
Episode 3600/100000 | Avg Score: 9748.32 | Success Rate: 0.02
Episode 3700/100000 | Avg Score: 9598.76 | Success Rate: 0.00
Episode 3800/100000 | Avg Score: 9834.60 | Success Rate: 0.01
Episode 3900/100000 | Avg Score: 9698.84 | Success Rate: 0.01
Episode 4000/100000 | Avg Score: 9354.52 | Success Rate: 0.00
Episode 4100/100000 | Avg Score: 9645.20 | Success Rate: 0.01
Episode 4200/100000 | Avg Score: 9810.96 | Success Rate: 0.00
Episode 4300/100000 | Avg Score: 10072.80 | Success Rate: 0.01
Episode 4400/100000 | Avg Score: 10345.32 | Success Rate: 0.02
Episode 4500/100000 | Avg Score: 10838.24 | Success Rate: 0.01
Episode 4600/100000 | Avg Score: 11047.52 | Success Rate: 0.04
Episode 4700/100000 | Avg Score: 10122.32 | Success Rate: 0.01
Episode 4800/100000 | Avg Score: 10447.00 | Success Rate: 0.05
Episode 4900/100000 | Avg Score: 10083.60 | Success Rate: 0.01
Episode 5000/100000 | Avg Score: 11055.32 | Success Rate: 0.04
Episode 5100/100000 | Avg Score: 11240.24 | Success Rate: 0.02
Episode 5200/100000 | Avg Score: 11041.36 | Success Rate: 0.01
Episode 5300/100000 | Avg Score: 11186.44 | Success Rate: 0.04
Episode 5400/100000 | Avg Score: 10803.80 | Success Rate: 0.03
Episode 5500/100000 | Avg Score: 10892.56 | Success Rate: 0.03
Episode 5600/100000 | Avg Score: 11058.12 | Success Rate: 0.02
Episode 5700/100000 | Avg Score: 10811.52 | Success Rate: 0.03
Episode 5800/100000 | Avg Score: 10111.84 | Success Rate: 0.00
Episode 5900/100000 | Avg Score: 10527.88 | Success Rate: 0.02
Episode 6000/100000 | Avg Score: 10605.60 | Success Rate: 0.03
Episode 6100/100000 | Avg Score: 9936.76 | Success Rate: 0.00
Episode 6200/100000 | Avg Score: 10179.76 | Success Rate: 0.02
Episode 6300/100000 | Avg Score: 10917.96 | Success Rate: 0.03
Episode 6400/100000 | Avg Score: 11312.96 | Success Rate: 0.05
Episode 6500/100000 | Avg Score: 10475.32 | Success Rate: 0.02
Episode 6600/100000 | Avg Score: 11102.96 | Success Rate: 0.06
Episode 6700/100000 | Avg Score: 10813.36 | Success Rate: 0.02
Episode 6800/100000 | Avg Score: 10980.76 | Success Rate: 0.02
Episode 6900/100000 | Avg Score: 10859.60 | Success Rate: 0.01
Episode 7000/100000 | Avg Score: 10510.72 | Success Rate: 0.02
Episode 7100/100000 | Avg Score: 10443.12 | Success Rate: 0.01
Episode 7200/100000 | Avg Score: 11447.28 | Success Rate: 0.04
Episode 7300/100000 | Avg Score: 11228.48 | Success Rate: 0.04
Episode 7400/100000 | Avg Score: 11060.60 | Success Rate: 0.03
Episode 7500/100000 | Avg Score: 11450.72 | Success Rate: 0.06
Episode 7600/100000 | Avg Score: 11170.56 | Success Rate: 0.01
Episode 7700/100000 | Avg Score: 11619.12 | Success Rate: 0.05
Episode 7800/100000 | Avg Score: 11830.12 | Success Rate: 0.03
Episode 7900/100000 | Avg Score: 11884.72 | Success Rate: 0.06
Episode 8000/100000 | Avg Score: 11042.16 | Success Rate: 0.01
Episode 8100/100000 | Avg Score: 12215.24 | Success Rate: 0.04
Episode 8200/100000 | Avg Score: 11499.60 | Success Rate: 0.01
Episode 8300/100000 | Avg Score: 11773.52 | Success Rate: 0.05
Episode 8400/100000 | Avg Score: 11170.64 | Success Rate: 0.03
Episode 8500/100000 | Avg Score: 11528.68 | Success Rate: 0.04
Episode 8600/100000 | Avg Score: 11701.20 | Success Rate: 0.04
Episode 8700/100000 | Avg Score: 13262.72 | Success Rate: 0.08
Episode 8800/100000 | Avg Score: 11037.48 | Success Rate: 0.04
Episode 8900/100000 | Avg Score: 11222.08 | Success Rate: 0.00
Episode 9000/100000 | Avg Score: 12416.64 | Success Rate: 0.07
Episode 9100/100000 | Avg Score: 12559.56 | Success Rate: 0.04
Episode 9200/100000 | Avg Score: 11255.00 | Success Rate: 0.01
Episode 9300/100000 | Avg Score: 12150.08 | Success Rate: 0.05
Episode 9400/100000 | Avg Score: 11584.56 | Success Rate: 0.02
Episode 9500/100000 | Avg Score: 12087.52 | Success Rate: 0.05
Episode 9600/100000 | Avg Score: 12582.44 | Success Rate: 0.02
Episode 9700/100000 | Avg Score: 13890.40 | Success Rate: 0.10
Episode 9800/100000 | Avg Score: 13285.64 | Success Rate: 0.10
Episode 9900/100000 | Avg Score: 12755.88 | Success Rate: 0.08
Episode 10000/100000 | Avg Score: 11474.68 | Success Rate: 0.01
Episode 10100/100000 | Avg Score: 13156.84 | Success Rate: 0.04
