Episode 100/100000 | Avg Score: 3838.72 | Success Rate: 0.00
Episode 200/100000 | Avg Score: 5339.68 | Success Rate: 0.00
Episode 300/100000 | Avg Score: 5771.96 | Success Rate: 0.00
Episode 400/100000 | Avg Score: 7363.96 | Success Rate: 0.00
Episode 500/100000 | Avg Score: 7362.48 | Success Rate: 0.01
Episode 600/100000 | Avg Score: 7988.00 | Success Rate: 0.01
Episode 700/100000 | Avg Score: 8473.92 | Success Rate: 0.01
Episode 800/100000 | Avg Score: 8116.00 | Success Rate: 0.01
Episode 900/100000 | Avg Score: 9487.72 | Success Rate: 0.03
Episode 1000/100000 | Avg Score: 8047.08 | Success Rate: 0.00
Episode 1100/100000 | Avg Score: 10037.56 | Success Rate: 0.01
Episode 1200/100000 | Avg Score: 10166.16 | Success Rate: 0.02
Episode 1300/100000 | Avg Score: 10068.28 | Success Rate: 0.01
Episode 1400/100000 | Avg Score: 10000.16 | Success Rate: 0.01
Episode 1500/100000 | Avg Score: 10447.08 | Success Rate: 0.02
Episode 1600/100000 | Avg Score: 10734.68 | Success Rate: 0.01
Episode 1700/100000 | Avg Score: 10812.84 | Success Rate: 0.00
Episode 1800/100000 | Avg Score: 10592.40 | Success Rate: 0.00
Episode 1900/100000 | Avg Score: 10964.28 | Success Rate: 0.02
Episode 2000/100000 | Avg Score: 11588.76 | Success Rate: 0.03
Episode 2100/100000 | Avg Score: 10729.56 | Success Rate: 0.04
Episode 2200/100000 | Avg Score: 10896.68 | Success Rate: 0.02
Episode 2300/100000 | Avg Score: 11635.48 | Success Rate: 0.01
Episode 2400/100000 | Avg Score: 11448.00 | Success Rate: 0.07
Episode 2500/100000 | Avg Score: 11541.72 | Success Rate: 0.04
Episode 2600/100000 | Avg Score: 11619.16 | Success Rate: 0.03
Episode 2700/100000 | Avg Score: 12229.88 | Success Rate: 0.04
Episode 2800/100000 | Avg Score: 12428.12 | Success Rate: 0.06
Episode 2900/100000 | Avg Score: 12262.32 | Success Rate: 0.03
Episode 3000/100000 | Avg Score: 11883.36 | Success Rate: 0.04
Episode 3100/100000 | Avg Score: 12354.04 | Success Rate: 0.03
Episode 3200/100000 | Avg Score: 12156.16 | Success Rate: 0.06
Episode 3300/100000 | Avg Score: 12581.16 | Success Rate: 0.09
Episode 3400/100000 | Avg Score: 13254.12 | Success Rate: 0.07
Episode 3500/100000 | Avg Score: 13372.64 | Success Rate: 0.07
Episode 3600/100000 | Avg Score: 12985.04 | Success Rate: 0.07
Episode 3700/100000 | Avg Score: 13740.72 | Success Rate: 0.06
Episode 3800/100000 | Avg Score: 12826.24 | Success Rate: 0.07
Episode 3900/100000 | Avg Score: 13085.64 | Success Rate: 0.06
Episode 4000/100000 | Avg Score: 12897.24 | Success Rate: 0.07
Episode 4100/100000 | Avg Score: 13132.00 | Success Rate: 0.03
Episode 4200/100000 | Avg Score: 15062.24 | Success Rate: 0.12
Episode 4300/100000 | Avg Score: 13878.36 | Success Rate: 0.08
Episode 4400/100000 | Avg Score: 15259.88 | Success Rate: 0.14
Episode 4500/100000 | Avg Score: 14444.00 | Success Rate: 0.15
Episode 4600/100000 | Avg Score: 15594.64 | Success Rate: 0.13
Episode 4700/100000 | Avg Score: 15035.80 | Success Rate: 0.18
Episode 4800/100000 | Avg Score: 15325.92 | Success Rate: 0.16
Episode 4900/100000 | Avg Score: 15219.12 | Success Rate: 0.20
Episode 5000/100000 | Avg Score: 15088.20 | Success Rate: 0.14
Episode 5100/100000 | Avg Score: 14966.48 | Success Rate: 0.10
Episode 5200/100000 | Avg Score: 16063.64 | Success Rate: 0.18
Episode 5300/100000 | Avg Score: 15744.08 | Success Rate: 0.13
Episode 5400/100000 | Avg Score: 17413.68 | Success Rate: 0.23
Episode 5500/100000 | Avg Score: 16689.92 | Success Rate: 0.18
Episode 5600/100000 | Avg Score: 16199.36 | Success Rate: 0.17
Episode 5700/100000 | Avg Score: 16357.84 | Success Rate: 0.20
Episode 5800/100000 | Avg Score: 17575.16 | Success Rate: 0.24
Episode 5900/100000 | Avg Score: 16058.72 | Success Rate: 0.15
Episode 6000/100000 | Avg Score: 16504.56 | Success Rate: 0.17
Episode 6100/100000 | Avg Score: 16686.24 | Success Rate: 0.25
Episode 6200/100000 | Avg Score: 16362.28 | Success Rate: 0.19
Episode 6300/100000 | Avg Score: 15034.48 | Success Rate: 0.13
Episode 6400/100000 | Avg Score: 16315.12 | Success Rate: 0.21
Episode 6500/100000 | Avg Score: 17301.80 | Success Rate: 0.19
Episode 6600/100000 | Avg Score: 18886.88 | Success Rate: 0.27
Episode 6700/100000 | Avg Score: 17144.56 | Success Rate: 0.29
Episode 6800/100000 | Avg Score: 16232.56 | Success Rate: 0.18
Episode 6900/100000 | Avg Score: 18771.48 | Success Rate: 0.28
Episode 7000/100000 | Avg Score: 18680.48 | Success Rate: 0.30
Episode 7100/100000 | Avg Score: 17142.52 | Success Rate: 0.21
Episode 7200/100000 | Avg Score: 16934.36 | Success Rate: 0.23
Episode 7300/100000 | Avg Score: 17054.20 | Success Rate: 0.20
Episode 7400/100000 | Avg Score: 16846.84 | Success Rate: 0.26
Episode 7500/100000 | Avg Score: 17781.76 | Success Rate: 0.23
Episode 7600/100000 | Avg Score: 17531.52 | Success Rate: 0.23
Episode 7700/100000 | Avg Score: 16858.36 | Success Rate: 0.22
Episode 7800/100000 | Avg Score: 18299.96 | Success Rate: 0.26
Episode 7900/100000 | Avg Score: 17339.92 | Success Rate: 0.25
Episode 8000/100000 | Avg Score: 18546.52 | Success Rate: 0.30
Episode 8100/100000 | Avg Score: 19174.04 | Success Rate: 0.34
Episode 8200/100000 | Avg Score: 18267.40 | Success Rate: 0.22
Episode 8300/100000 | Avg Score: 18883.36 | Success Rate: 0.27
Episode 8400/100000 | Avg Score: 18149.92 | Success Rate: 0.27
Episode 8500/100000 | Avg Score: 19314.24 | Success Rate: 0.28
Episode 8600/100000 | Avg Score: 17684.88 | Success Rate: 0.24
Episode 8700/100000 | Avg Score: 18682.36 | Success Rate: 0.31
Episode 8800/100000 | Avg Score: 17650.28 | Success Rate: 0.25
Episode 8900/100000 | Avg Score: 18755.08 | Success Rate: 0.28
Episode 9000/100000 | Avg Score: 17567.16 | Success Rate: 0.22
Episode 9100/100000 | Avg Score: 18064.12 | Success Rate: 0.33
Episode 9200/100000 | Avg Score: 17666.36 | Success Rate: 0.23
Episode 9300/100000 | Avg Score: 17319.92 | Success Rate: 0.28
Episode 9400/100000 | Avg Score: 19226.92 | Success Rate: 0.30
Episode 9500/100000 | Avg Score: 20462.20 | Success Rate: 0.35
Episode 9600/100000 | Avg Score: 18723.92 | Success Rate: 0.32
Episode 9700/100000 | Avg Score: 20951.76 | Success Rate: 0.41
Episode 9800/100000 | Avg Score: 19485.04 | Success Rate: 0.34
Episode 9900/100000 | Avg Score: 19184.80 | Success Rate: 0.34
Episode 10000/100000 | Avg Score: 19942.56 | Success Rate: 0.39
Episode 10100/100000 | Avg Score: 19136.84 | Success Rate: 0.36
Episode 10200/100000 | Avg Score: 20648.08 | Success Rate: 0.35
Episode 10300/100000 | Avg Score: 18439.92 | Success Rate: 0.35
Episode 10400/100000 | Avg Score: 19294.36 | Success Rate: 0.35
Episode 10500/100000 | Avg Score: 20746.32 | Success Rate: 0.44
Episode 10600/100000 | Avg Score: 20349.52 | Success Rate: 0.37
Episode 10700/100000 | Avg Score: 21003.52 | Success Rate: 0.34
Episode 10800/100000 | Avg Score: 18017.08 | Success Rate: 0.26
Episode 10900/100000 | Avg Score: 21185.40 | Success Rate: 0.44
Episode 11000/100000 | Avg Score: 19038.20 | Success Rate: 0.35
Episode 11100/100000 | Avg Score: 20779.64 | Success Rate: 0.36
Episode 11200/100000 | Avg Score: 18257.28 | Success Rate: 0.27
Episode 11300/100000 | Avg Score: 20547.36 | Success Rate: 0.42
Episode 11400/100000 | Avg Score: 18742.44 | Success Rate: 0.31
Episode 11500/100000 | Avg Score: 19601.28 | Success Rate: 0.33
Episode 11600/100000 | Avg Score: 21185.56 | Success Rate: 0.40
Episode 11700/100000 | Avg Score: 20257.32 | Success Rate: 0.34
Episode 11800/100000 | Avg Score: 18246.12 | Success Rate: 0.27
Episode 11900/100000 | Avg Score: 19850.72 | Success Rate: 0.33
Episode 12000/100000 | Avg Score: 19662.00 | Success Rate: 0.29
Episode 12100/100000 | Avg Score: 19186.92 | Success Rate: 0.32
Episode 12200/100000 | Avg Score: 22115.36 | Success Rate: 0.43
Episode 12300/100000 | Avg Score: 21152.88 | Success Rate: 0.36
Episode 12400/100000 | Avg Score: 20435.16 | Success Rate: 0.40
Episode 12500/100000 | Avg Score: 19930.72 | Success Rate: 0.35
Episode 12600/100000 | Avg Score: 20703.48 | Success Rate: 0.39
Episode 12700/100000 | Avg Score: 20887.56 | Success Rate: 0.44
Episode 12800/100000 | Avg Score: 21404.32 | Success Rate: 0.44
Episode 12900/100000 | Avg Score: 21303.96 | Success Rate: 0.37
Episode 13000/100000 | Avg Score: 20373.84 | Success Rate: 0.36
Episode 13100/100000 | Avg Score: 22883.08 | Success Rate: 0.45
Episode 13200/100000 | Avg Score: 20827.88 | Success Rate: 0.40
Episode 13300/100000 | Avg Score: 21156.72 | Success Rate: 0.42
Episode 13400/100000 | Avg Score: 20910.40 | Success Rate: 0.41
Episode 13500/100000 | Avg Score: 21679.20 | Success Rate: 0.46
Episode 13600/100000 | Avg Score: 20447.72 | Success Rate: 0.34
Episode 13700/100000 | Avg Score: 20527.08 | Success Rate: 0.33
Episode 13800/100000 | Avg Score: 21587.84 | Success Rate: 0.41
Episode 13900/100000 | Avg Score: 20442.00 | Success Rate: 0.39
Episode 14000/100000 | Avg Score: 21075.48 | Success Rate: 0.37
Episode 14100/100000 | Avg Score: 21071.52 | Success Rate: 0.42
Episode 14200/100000 | Avg Score: 19028.68 | Success Rate: 0.32
Episode 14300/100000 | Avg Score: 21494.20 | Success Rate: 0.42
Episode 14400/100000 | Avg Score: 21069.28 | Success Rate: 0.35
Episode 14500/100000 | Avg Score: 20618.36 | Success Rate: 0.40
Episode 14600/100000 | Avg Score: 20054.16 | Success Rate: 0.32
Episode 14700/100000 | Avg Score: 21330.36 | Success Rate: 0.37
Episode 14800/100000 | Avg Score: 21984.80 | Success Rate: 0.43
Episode 14900/100000 | Avg Score: 21992.80 | Success Rate: 0.42
Episode 15000/100000 | Avg Score: 23443.28 | Success Rate: 0.51
Episode 15100/100000 | Avg Score: 22792.20 | Success Rate: 0.49
Episode 15200/100000 | Avg Score: 19923.84 | Success Rate: 0.35
Episode 15300/100000 | Avg Score: 21705.48 | Success Rate: 0.44
Episode 15400/100000 | Avg Score: 22079.76 | Success Rate: 0.43
Episode 15500/100000 | Avg Score: 21299.68 | Success Rate: 0.49
Episode 15600/100000 | Avg Score: 22174.28 | Success Rate: 0.39
Episode 15700/100000 | Avg Score: 20447.76 | Success Rate: 0.36
Episode 15800/100000 | Avg Score: 20410.92 | Success Rate: 0.37
Episode 15900/100000 | Avg Score: 23005.28 | Success Rate: 0.45
Episode 16000/100000 | Avg Score: 20981.28 | Success Rate: 0.38
Episode 16100/100000 | Avg Score: 21323.96 | Success Rate: 0.44
Episode 16200/100000 | Avg Score: 20635.16 | Success Rate: 0.35
Episode 16300/100000 | Avg Score: 22883.16 | Success Rate: 0.53
Episode 16400/100000 | Avg Score: 22042.52 | Success Rate: 0.44
Episode 16500/100000 | Avg Score: 21401.44 | Success Rate: 0.47
Episode 16600/100000 | Avg Score: 19760.84 | Success Rate: 0.37
Episode 16700/100000 | Avg Score: 20233.84 | Success Rate: 0.35
Episode 16800/100000 | Avg Score: 19980.48 | Success Rate: 0.37
Episode 16900/100000 | Avg Score: 22247.88 | Success Rate: 0.44
Episode 17000/100000 | Avg Score: 21939.80 | Success Rate: 0.45
Episode 17100/100000 | Avg Score: 22811.04 | Success Rate: 0.51
Episode 17200/100000 | Avg Score: 23006.24 | Success Rate: 0.50
Episode 17300/100000 | Avg Score: 19921.60 | Success Rate: 0.34
Episode 17400/100000 | Avg Score: 20290.60 | Success Rate: 0.34
Episode 17500/100000 | Avg Score: 21801.88 | Success Rate: 0.43
Episode 17600/100000 | Avg Score: 21176.28 | Success Rate: 0.35
Episode 17700/100000 | Avg Score: 19635.56 | Success Rate: 0.34
Episode 17800/100000 | Avg Score: 21809.16 | Success Rate: 0.49
Episode 17900/100000 | Avg Score: 24148.44 | Success Rate: 0.55
Episode 18000/100000 | Avg Score: 20841.32 | Success Rate: 0.40
Episode 18100/100000 | Avg Score: 22531.32 | Success Rate: 0.47
Episode 18200/100000 | Avg Score: 21047.24 | Success Rate: 0.48
Episode 18300/100000 | Avg Score: 19847.80 | Success Rate: 0.39
Episode 18400/100000 | Avg Score: 22609.16 | Success Rate: 0.46
Episode 18500/100000 | Avg Score: 21409.44 | Success Rate: 0.40
Episode 18600/100000 | Avg Score: 21888.96 | Success Rate: 0.46
Episode 18700/100000 | Avg Score: 22563.56 | Success Rate: 0.45
Episode 18800/100000 | Avg Score: 21077.04 | Success Rate: 0.41
Episode 18900/100000 | Avg Score: 20199.96 | Success Rate: 0.37
Episode 19000/100000 | Avg Score: 21601.00 | Success Rate: 0.40
Episode 19100/100000 | Avg Score: 23035.96 | Success Rate: 0.47
Episode 19200/100000 | Avg Score: 23086.64 | Success Rate: 0.46
Episode 19300/100000 | Avg Score: 21263.84 | Success Rate: 0.40
Episode 19400/100000 | Avg Score: 22035.68 | Success Rate: 0.45
Episode 19500/100000 | Avg Score: 23218.12 | Success Rate: 0.50
Episode 19600/100000 | Avg Score: 22622.68 | Success Rate: 0.48
Episode 19700/100000 | Avg Score: 21381.60 | Success Rate: 0.43
Episode 19800/100000 | Avg Score: 21723.40 | Success Rate: 0.45
Episode 19900/100000 | Avg Score: 23446.32 | Success Rate: 0.51
Episode 20000/100000 | Avg Score: 24054.96 | Success Rate: 0.51
Episode 20100/100000 | Avg Score: 21755.12 | Success Rate: 0.46
Episode 20200/100000 | Avg Score: 24858.80 | Success Rate: 0.58
Episode 20300/100000 | Avg Score: 22162.16 | Success Rate: 0.46
Episode 20400/100000 | Avg Score: 22067.00 | Success Rate: 0.47
Episode 20500/100000 | Avg Score: 21326.20 | Success Rate: 0.41
Episode 20600/100000 | Avg Score: 22594.56 | Success Rate: 0.44
Episode 20700/100000 | Avg Score: 23642.60 | Success Rate: 0.47
Episode 20800/100000 | Avg Score: 21360.64 | Success Rate: 0.48
Episode 20900/100000 | Avg Score: 23707.80 | Success Rate: 0.53
Episode 21000/100000 | Avg Score: 22406.52 | Success Rate: 0.40
Episode 21100/100000 | Avg Score: 24116.92 | Success Rate: 0.56
Episode 21200/100000 | Avg Score: 21762.60 | Success Rate: 0.52
Episode 21300/100000 | Avg Score: 22179.56 | Success Rate: 0.45
Episode 21400/100000 | Avg Score: 22281.16 | Success Rate: 0.44
Episode 21500/100000 | Avg Score: 21480.20 | Success Rate: 0.44
Episode 21600/100000 | Avg Score: 22362.28 | Success Rate: 0.44
Episode 21700/100000 | Avg Score: 23433.52 | Success Rate: 0.49
Episode 21800/100000 | Avg Score: 22461.48 | Success Rate: 0.48
Episode 21900/100000 | Avg Score: 22290.36 | Success Rate: 0.46
Episode 22000/100000 | Avg Score: 22617.28 | Success Rate: 0.47
Episode 22100/100000 | Avg Score: 24950.96 | Success Rate: 0.57
Episode 22200/100000 | Avg Score: 20987.96 | Success Rate: 0.42
Episode 22300/100000 | Avg Score: 22334.60 | Success Rate: 0.44
Episode 22400/100000 | Avg Score: 23295.76 | Success Rate: 0.53
Episode 22500/100000 | Avg Score: 22505.08 | Success Rate: 0.45
Episode 22600/100000 | Avg Score: 21748.28 | Success Rate: 0.46
Episode 22700/100000 | Avg Score: 23083.56 | Success Rate: 0.51
