Episode 100/100000 | Avg Score: 3662.04 | Success Rate: 0.00
Episode 200/100000 | Avg Score: 5540.80 | Success Rate: 0.00
Episode 300/100000 | Avg Score: 6055.24 | Success Rate: 0.00
Episode 400/100000 | Avg Score: 6632.72 | Success Rate: 0.00
Episode 500/100000 | Avg Score: 7649.16 | Success Rate: 0.00
Episode 600/100000 | Avg Score: 7692.80 | Success Rate: 0.00
Episode 700/100000 | Avg Score: 8956.36 | Success Rate: 0.00
Episode 800/100000 | Avg Score: 8514.56 | Success Rate: 0.00
Episode 900/100000 | Avg Score: 9343.28 | Success Rate: 0.00
Episode 1000/100000 | Avg Score: 9428.64 | Success Rate: 0.01
Episode 1100/100000 | Avg Score: 9288.88 | Success Rate: 0.00
Episode 1200/100000 | Avg Score: 9573.32 | Success Rate: 0.00
Episode 1300/100000 | Avg Score: 9456.40 | Success Rate: 0.00
Episode 1400/100000 | Avg Score: 9514.88 | Success Rate: 0.01
Episode 1500/100000 | Avg Score: 10899.60 | Success Rate: 0.01
Episode 1600/100000 | Avg Score: 9781.00 | Success Rate: 0.01
Episode 1700/100000 | Avg Score: 10833.48 | Success Rate: 0.01
Episode 1800/100000 | Avg Score: 10408.44 | Success Rate: 0.01
Episode 1900/100000 | Avg Score: 11916.12 | Success Rate: 0.06
Episode 2000/100000 | Avg Score: 10779.48 | Success Rate: 0.00
Episode 2100/100000 | Avg Score: 11486.40 | Success Rate: 0.03
Episode 2200/100000 | Avg Score: 11708.88 | Success Rate: 0.03
Episode 2300/100000 | Avg Score: 11703.04 | Success Rate: 0.04
Episode 2400/100000 | Avg Score: 12177.80 | Success Rate: 0.05
Episode 2500/100000 | Avg Score: 11193.68 | Success Rate: 0.04
Episode 2600/100000 | Avg Score: 11666.84 | Success Rate: 0.06
Episode 2700/100000 | Avg Score: 12176.28 | Success Rate: 0.05
Episode 2800/100000 | Avg Score: 12713.00 | Success Rate: 0.02
Episode 2900/100000 | Avg Score: 12957.48 | Success Rate: 0.07
Episode 3000/100000 | Avg Score: 12772.80 | Success Rate: 0.07
Episode 3100/100000 | Avg Score: 12172.40 | Success Rate: 0.04
Episode 3200/100000 | Avg Score: 12834.80 | Success Rate: 0.05
Episode 3300/100000 | Avg Score: 13306.12 | Success Rate: 0.07
Episode 3400/100000 | Avg Score: 13078.12 | Success Rate: 0.06
Episode 3500/100000 | Avg Score: 13454.48 | Success Rate: 0.04
Episode 3600/100000 | Avg Score: 13580.96 | Success Rate: 0.07
Episode 3700/100000 | Avg Score: 13717.48 | Success Rate: 0.09
Episode 3800/100000 | Avg Score: 13947.72 | Success Rate: 0.04
Episode 3900/100000 | Avg Score: 12411.76 | Success Rate: 0.04
Episode 4000/100000 | Avg Score: 14791.68 | Success Rate: 0.10
Episode 4100/100000 | Avg Score: 13716.56 | Success Rate: 0.10
Episode 4200/100000 | Avg Score: 15121.40 | Success Rate: 0.14
Episode 4300/100000 | Avg Score: 13120.48 | Success Rate: 0.07
Episode 4400/100000 | Avg Score: 14820.96 | Success Rate: 0.08
Episode 4500/100000 | Avg Score: 14947.68 | Success Rate: 0.16
Episode 4600/100000 | Avg Score: 15027.32 | Success Rate: 0.13
Episode 4700/100000 | Avg Score: 14307.80 | Success Rate: 0.08
Episode 4800/100000 | Avg Score: 14854.68 | Success Rate: 0.11
Episode 4900/100000 | Avg Score: 16230.52 | Success Rate: 0.13
Episode 5000/100000 | Avg Score: 15758.20 | Success Rate: 0.10
Episode 5100/100000 | Avg Score: 15269.96 | Success Rate: 0.17
Episode 5200/100000 | Avg Score: 15426.92 | Success Rate: 0.12
Episode 5300/100000 | Avg Score: 14590.20 | Success Rate: 0.10
Episode 5400/100000 | Avg Score: 15655.16 | Success Rate: 0.12
Episode 5500/100000 | Avg Score: 15086.24 | Success Rate: 0.12
Episode 5600/100000 | Avg Score: 17018.76 | Success Rate: 0.25
Episode 5700/100000 | Avg Score: 15481.28 | Success Rate: 0.16
Episode 5800/100000 | Avg Score: 17776.60 | Success Rate: 0.24
Episode 5900/100000 | Avg Score: 16017.08 | Success Rate: 0.14
Episode 6000/100000 | Avg Score: 15951.08 | Success Rate: 0.16
Episode 6100/100000 | Avg Score: 17197.60 | Success Rate: 0.23
Episode 6200/100000 | Avg Score: 16332.40 | Success Rate: 0.15
Episode 6300/100000 | Avg Score: 18641.32 | Success Rate: 0.28
